[INBOUND]{"id":4,"src":"c4","dest":"n1","body":{"type":"init","node_id":"n1","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
[INIT_OK] {"src":"n1","dest":"c4","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[INBOUND]{"id":26,"src":"c14","dest":"n1","body":{"echo":"Please echo 66","type":"echo","msg_id":1}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 66","msg_id":0,"in_reply_to":1}}
[INBOUND]{"id":30,"src":"c14","dest":"n1","body":{"echo":"Please echo 55","type":"echo","msg_id":2}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 55","msg_id":0,"in_reply_to":2}}
[INBOUND]{"id":42,"src":"c14","dest":"n1","body":{"echo":"Please echo 97","type":"echo","msg_id":3}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 97","msg_id":0,"in_reply_to":3}}
[INBOUND]{"id":72,"src":"c14","dest":"n1","body":{"echo":"Please echo 50","type":"echo","msg_id":4}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 50","msg_id":0,"in_reply_to":4}}
[INBOUND]{"id":92,"src":"c14","dest":"n1","body":{"echo":"Please echo 28","type":"echo","msg_id":5}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 28","msg_id":0,"in_reply_to":5}}
[INBOUND]{"id":100,"src":"c14","dest":"n1","body":{"echo":"Please echo 60","type":"echo","msg_id":6}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 60","msg_id":0,"in_reply_to":6}}
[INBOUND]{"id":102,"src":"c14","dest":"n1","body":{"echo":"Please echo 80","type":"echo","msg_id":7}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 80","msg_id":0,"in_reply_to":7}}
[INBOUND]{"id":106,"src":"c14","dest":"n1","body":{"echo":"Please echo 108","type":"echo","msg_id":8}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 108","msg_id":0,"in_reply_to":8}}
[INBOUND]{"id":108,"src":"c14","dest":"n1","body":{"echo":"Please echo 48","type":"echo","msg_id":9}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 48","msg_id":0,"in_reply_to":9}}
[INBOUND]{"id":128,"src":"c14","dest":"n1","body":{"echo":"Please echo 104","type":"echo","msg_id":10}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 104","msg_id":0,"in_reply_to":10}}
[INBOUND]{"id":146,"src":"c14","dest":"n1","body":{"echo":"Please echo 112","type":"echo","msg_id":11}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 112","msg_id":0,"in_reply_to":11}}
[INBOUND]{"id":162,"src":"c14","dest":"n1","body":{"echo":"Please echo 5","type":"echo","msg_id":12}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 5","msg_id":0,"in_reply_to":12}}
[INBOUND]{"id":172,"src":"c14","dest":"n1","body":{"echo":"Please echo 98","type":"echo","msg_id":13}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 98","msg_id":0,"in_reply_to":13}}
[INBOUND]{"id":176,"src":"c14","dest":"n1","body":{"echo":"Please echo 71","type":"echo","msg_id":14}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 71","msg_id":0,"in_reply_to":14}}
[INBOUND]{"id":180,"src":"c14","dest":"n1","body":{"echo":"Please echo 60","type":"echo","msg_id":15}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 60","msg_id":0,"in_reply_to":15}}
[INBOUND]{"id":196,"src":"c14","dest":"n1","body":{"echo":"Please echo 73","type":"echo","msg_id":16}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 73","msg_id":0,"in_reply_to":16}}
[INBOUND]{"id":198,"src":"c14","dest":"n1","body":{"echo":"Please echo 70","type":"echo","msg_id":17}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 70","msg_id":0,"in_reply_to":17}}
[INBOUND]{"id":208,"src":"c14","dest":"n1","body":{"echo":"Please echo 17","type":"echo","msg_id":18}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 17","msg_id":0,"in_reply_to":18}}
[INBOUND]{"id":230,"src":"c14","dest":"n1","body":{"echo":"Please echo 90","type":"echo","msg_id":19}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 90","msg_id":0,"in_reply_to":19}}
[INBOUND]{"id":244,"src":"c14","dest":"n1","body":{"echo":"Please echo 79","type":"echo","msg_id":20}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 79","msg_id":0,"in_reply_to":20}}
[INBOUND]{"id":248,"src":"c14","dest":"n1","body":{"echo":"Please echo 101","type":"echo","msg_id":21}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 101","msg_id":0,"in_reply_to":21}}
[INBOUND]{"id":250,"src":"c14","dest":"n1","body":{"echo":"Please echo 32","type":"echo","msg_id":22}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 32","msg_id":0,"in_reply_to":22}}
[INBOUND]{"id":306,"src":"c14","dest":"n1","body":{"echo":"Please echo 93","type":"echo","msg_id":23}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 93","msg_id":0,"in_reply_to":23}}
[INBOUND]{"id":322,"src":"c14","dest":"n1","body":{"echo":"Please echo 75","type":"echo","msg_id":24}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 75","msg_id":0,"in_reply_to":24}}
[INBOUND]{"id":366,"src":"c14","dest":"n1","body":{"echo":"Please echo 39","type":"echo","msg_id":25}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 39","msg_id":0,"in_reply_to":25}}
[INBOUND]{"id":368,"src":"c14","dest":"n1","body":{"echo":"Please echo 112","type":"echo","msg_id":26}}
[ECHO_OK] {"src":"n1","dest":"c14","body":{"type":"echo_ok","echo":"Please echo 112","msg_id":0,"in_reply_to":26}}
