[INBOUND]{"id":0,"src":"c0","dest":"n3","body":{"type":"init","node_id":"n3","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
[INIT_OK] {"src":"n3","dest":"c0","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[INBOUND]{"id":16,"src":"c12","dest":"n3","body":{"echo":"Please echo 32","type":"echo","msg_id":1}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 32","msg_id":0,"in_reply_to":1}}
[INBOUND]{"id":22,"src":"c12","dest":"n3","body":{"echo":"Please echo 10","type":"echo","msg_id":2}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 10","msg_id":0,"in_reply_to":2}}
[INBOUND]{"id":24,"src":"c12","dest":"n3","body":{"echo":"Please echo 11","type":"echo","msg_id":3}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 11","msg_id":0,"in_reply_to":3}}
[INBOUND]{"id":34,"src":"c12","dest":"n3","body":{"echo":"Please echo 76","type":"echo","msg_id":4}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 76","msg_id":0,"in_reply_to":4}}
[INBOUND]{"id":44,"src":"c12","dest":"n3","body":{"echo":"Please echo 58","type":"echo","msg_id":5}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 58","msg_id":0,"in_reply_to":5}}
[INBOUND]{"id":50,"src":"c12","dest":"n3","body":{"echo":"Please echo 28","type":"echo","msg_id":6}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 28","msg_id":0,"in_reply_to":6}}
[INBOUND]{"id":64,"src":"c12","dest":"n3","body":{"echo":"Please echo 70","type":"echo","msg_id":7}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 70","msg_id":0,"in_reply_to":7}}
[INBOUND]{"id":90,"src":"c12","dest":"n3","body":{"echo":"Please echo 2","type":"echo","msg_id":8}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 2","msg_id":0,"in_reply_to":8}}
[INBOUND]{"id":98,"src":"c12","dest":"n3","body":{"echo":"Please echo 48","type":"echo","msg_id":9}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 48","msg_id":0,"in_reply_to":9}}
[INBOUND]{"id":104,"src":"c12","dest":"n3","body":{"echo":"Please echo 117","type":"echo","msg_id":10}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 117","msg_id":0,"in_reply_to":10}}
[INBOUND]{"id":124,"src":"c12","dest":"n3","body":{"echo":"Please echo 13","type":"echo","msg_id":11}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 13","msg_id":0,"in_reply_to":11}}
[INBOUND]{"id":132,"src":"c12","dest":"n3","body":{"echo":"Please echo 43","type":"echo","msg_id":12}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 43","msg_id":0,"in_reply_to":12}}
[INBOUND]{"id":134,"src":"c12","dest":"n3","body":{"echo":"Please echo 17","type":"echo","msg_id":13}}
[ECHO_OK] {"src":"n3","dest":"c12","body":{"type":"echo_ok","echo":"Please echo 17","msg_id":0,"in_reply_to":13}}
