[INBOUND]{"id":2,"src":"c2","dest":"n2","body":{"type":"init","node_id":"n2","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
[INIT_OK] {"src":"n2","dest":"c2","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[INBOUND]{"id":10,"src":"c10","dest":"n2","body":{"echo":"Please echo 32","type":"echo","msg_id":1}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 32","msg_id":0,"in_reply_to":1}}
[INBOUND]{"id":14,"src":"c10","dest":"n2","body":{"echo":"Please echo 26","type":"echo","msg_id":2}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 26","msg_id":0,"in_reply_to":2}}
[INBOUND]{"id":32,"src":"c10","dest":"n2","body":{"echo":"Please echo 89","type":"echo","msg_id":3}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 89","msg_id":0,"in_reply_to":3}}
[INBOUND]{"id":36,"src":"c10","dest":"n2","body":{"echo":"Please echo 18","type":"echo","msg_id":4}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 18","msg_id":0,"in_reply_to":4}}
[INBOUND]{"id":54,"src":"c10","dest":"n2","body":{"echo":"Please echo 114","type":"echo","msg_id":5}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 114","msg_id":0,"in_reply_to":5}}
[INBOUND]{"id":66,"src":"c10","dest":"n2","body":{"echo":"Please echo 68","type":"echo","msg_id":6}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 68","msg_id":0,"in_reply_to":6}}
[INBOUND]{"id":76,"src":"c10","dest":"n2","body":{"echo":"Please echo 15","type":"echo","msg_id":7}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 15","msg_id":0,"in_reply_to":7}}
[INBOUND]{"id":86,"src":"c10","dest":"n2","body":{"echo":"Please echo 111","type":"echo","msg_id":8}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 111","msg_id":0,"in_reply_to":8}}
[INBOUND]{"id":88,"src":"c10","dest":"n2","body":{"echo":"Please echo 30","type":"echo","msg_id":9}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 30","msg_id":0,"in_reply_to":9}}
[INBOUND]{"id":94,"src":"c10","dest":"n2","body":{"echo":"Please echo 12","type":"echo","msg_id":10}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 12","msg_id":0,"in_reply_to":10}}
[INBOUND]{"id":96,"src":"c10","dest":"n2","body":{"echo":"Please echo 48","type":"echo","msg_id":11}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 48","msg_id":0,"in_reply_to":11}}
[INBOUND]{"id":118,"src":"c10","dest":"n2","body":{"echo":"Please echo 89","type":"echo","msg_id":12}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 89","msg_id":0,"in_reply_to":12}}
[INBOUND]{"id":120,"src":"c10","dest":"n2","body":{"echo":"Please echo 91","type":"echo","msg_id":13}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 91","msg_id":0,"in_reply_to":13}}
[INBOUND]{"id":140,"src":"c10","dest":"n2","body":{"echo":"Please echo 104","type":"echo","msg_id":14}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 104","msg_id":0,"in_reply_to":14}}
[INBOUND]{"id":144,"src":"c10","dest":"n2","body":{"echo":"Please echo 121","type":"echo","msg_id":15}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 121","msg_id":0,"in_reply_to":15}}
[INBOUND]{"id":156,"src":"c10","dest":"n2","body":{"echo":"Please echo 87","type":"echo","msg_id":16}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 87","msg_id":0,"in_reply_to":16}}
[INBOUND]{"id":166,"src":"c10","dest":"n2","body":{"echo":"Please echo 76","type":"echo","msg_id":17}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 76","msg_id":0,"in_reply_to":17}}
[INBOUND]{"id":174,"src":"c10","dest":"n2","body":{"echo":"Please echo 92","type":"echo","msg_id":18}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 92","msg_id":0,"in_reply_to":18}}
[INBOUND]{"id":184,"src":"c10","dest":"n2","body":{"echo":"Please echo 52","type":"echo","msg_id":19}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 52","msg_id":0,"in_reply_to":19}}
[INBOUND]{"id":210,"src":"c10","dest":"n2","body":{"echo":"Please echo 71","type":"echo","msg_id":20}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 71","msg_id":0,"in_reply_to":20}}
[INBOUND]{"id":216,"src":"c10","dest":"n2","body":{"echo":"Please echo 59","type":"echo","msg_id":21}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 59","msg_id":0,"in_reply_to":21}}
[INBOUND]{"id":228,"src":"c10","dest":"n2","body":{"echo":"Please echo 122","type":"echo","msg_id":22}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 122","msg_id":0,"in_reply_to":22}}
[INBOUND]{"id":232,"src":"c10","dest":"n2","body":{"echo":"Please echo 4","type":"echo","msg_id":23}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 4","msg_id":0,"in_reply_to":23}}
[INBOUND]{"id":252,"src":"c10","dest":"n2","body":{"echo":"Please echo 31","type":"echo","msg_id":24}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 31","msg_id":0,"in_reply_to":24}}
[INBOUND]{"id":272,"src":"c10","dest":"n2","body":{"echo":"Please echo 67","type":"echo","msg_id":25}}
[ECHO_OK] {"src":"n2","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 67","msg_id":0,"in_reply_to":25}}
