[INBOUND]{"id":4,"src":"c4","dest":"n4","body":{"type":"init","node_id":"n4","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
[INIT_OK] {"src":"n4","dest":"c4","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[INBOUND]{"id":12,"src":"c11","dest":"n4","body":{"echo":"Please echo 111","type":"echo","msg_id":1}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 111","msg_id":0,"in_reply_to":1}}
[INBOUND]{"id":14,"src":"c11","dest":"n4","body":{"echo":"Please echo 79","type":"echo","msg_id":2}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 79","msg_id":0,"in_reply_to":2}}
[INBOUND]{"id":18,"src":"c11","dest":"n4","body":{"echo":"Please echo 125","type":"echo","msg_id":3}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 125","msg_id":0,"in_reply_to":3}}
[INBOUND]{"id":24,"src":"c11","dest":"n4","body":{"echo":"Please echo 19","type":"echo","msg_id":4}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 19","msg_id":0,"in_reply_to":4}}
[INBOUND]{"id":26,"src":"c11","dest":"n4","body":{"echo":"Please echo 79","type":"echo","msg_id":5}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 79","msg_id":0,"in_reply_to":5}}
[INBOUND]{"id":34,"src":"c11","dest":"n4","body":{"echo":"Please echo 50","type":"echo","msg_id":6}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 50","msg_id":0,"in_reply_to":6}}
[INBOUND]{"id":70,"src":"c11","dest":"n4","body":{"echo":"Please echo 84","type":"echo","msg_id":7}}
[ECHO_OK] {"src":"n4","dest":"c11","body":{"type":"echo_ok","echo":"Please echo 84","msg_id":0,"in_reply_to":7}}
