[INBOUND]{"id":2,"src":"c0","dest":"n5","body":{"type":"init","node_id":"n5","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
[INIT_OK] {"src":"n5","dest":"c0","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[INBOUND]{"id":10,"src":"c10","dest":"n5","body":{"echo":"Please echo 40","type":"echo","msg_id":1}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 40","msg_id":0,"in_reply_to":1}}
[INBOUND]{"id":32,"src":"c10","dest":"n5","body":{"echo":"Please echo 1","type":"echo","msg_id":2}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 1","msg_id":0,"in_reply_to":2}}
[INBOUND]{"id":52,"src":"c10","dest":"n5","body":{"echo":"Please echo 114","type":"echo","msg_id":3}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 114","msg_id":0,"in_reply_to":3}}
[INBOUND]{"id":74,"src":"c10","dest":"n5","body":{"echo":"Please echo 119","type":"echo","msg_id":4}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 119","msg_id":0,"in_reply_to":4}}
[INBOUND]{"id":90,"src":"c10","dest":"n5","body":{"echo":"Please echo 52","type":"echo","msg_id":5}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 52","msg_id":0,"in_reply_to":5}}
[INBOUND]{"id":94,"src":"c10","dest":"n5","body":{"echo":"Please echo 14","type":"echo","msg_id":6}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 14","msg_id":0,"in_reply_to":6}}
[INBOUND]{"id":122,"src":"c10","dest":"n5","body":{"echo":"Please echo 75","type":"echo","msg_id":7}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 75","msg_id":0,"in_reply_to":7}}
[INBOUND]{"id":124,"src":"c10","dest":"n5","body":{"echo":"Please echo 75","type":"echo","msg_id":8}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 75","msg_id":0,"in_reply_to":8}}
[INBOUND]{"id":138,"src":"c10","dest":"n5","body":{"echo":"Please echo 32","type":"echo","msg_id":9}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 32","msg_id":0,"in_reply_to":9}}
[INBOUND]{"id":140,"src":"c10","dest":"n5","body":{"echo":"Please echo 35","type":"echo","msg_id":10}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 35","msg_id":0,"in_reply_to":10}}
[INBOUND]{"id":166,"src":"c10","dest":"n5","body":{"echo":"Please echo 48","type":"echo","msg_id":11}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 48","msg_id":0,"in_reply_to":11}}
[INBOUND]{"id":202,"src":"c10","dest":"n5","body":{"echo":"Please echo 116","type":"echo","msg_id":12}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 116","msg_id":0,"in_reply_to":12}}
[INBOUND]{"id":210,"src":"c10","dest":"n5","body":{"echo":"Please echo 31","type":"echo","msg_id":13}}
[ECHO_OK] {"src":"n5","dest":"c10","body":{"type":"echo_ok","echo":"Please echo 31","msg_id":0,"in_reply_to":13}}
[INBOUND]{"id":212,"src":"c10","dest":"n5","body":{"echo":"Please echo 5","type":"echo","msg_id":14}}
